age,income,debt,loan_amount,payment_history,num_credit_accounts,credit_utilization,employment_years,num_late_payments,debt_to_income_ratio,creditworthy
55,15000.0,32587.36,34994.31,80.4,7,0.2502,4.0,5,2.1725,1
38,67609.17,2682.72,32625.63,65.2,1,0.6432,4.1,3,0.0397,1
28,61800.84,10022.33,11944.39,62.9,7,0.3316,8.0,2,0.1622,1
41,70347.26,9442.42,26297.66,64.6,5,0.4022,1.0,0,0.1342,1
48,100405.24,52398.13,11508.4,67.4,12,0.3203,6.9,5,0.5219,1
23,15000.0,25892.31,20011.05,65.2,13,0.2893,5.8,8,1.7262,1
25,45222.41,3308.54,57302.02,88.5,11,0.2826,2.8,2,0.0732,1
66,74772.66,2508.39,26435.43,40.8,1,0.3833,0.3,0,0.0335,1
23,20460.14,6946.61,7187.1,87.5,12,0.0808,0.6,5,0.3395,1
41,96898.73,3284.96,27705.03,65.2,6,0.488,0.6,8,0.0339,1
59,69208.92,7014.95,4723.06,78.8,6,0.2561,3.9,4,0.1014,1
38,81164.6,1695.6,7014.84,51.7,14,0.0602,9.6,3,0.0209,1
46,45726.41,13476.27,9383.15,95.9,13,0.1211,5.4,1,0.2947,1
26,80344.09,3348.69,18335.36,94.4,1,0.1275,1.4,8,0.0417,1
60,86711.79,3662.04,39054.53,89.3,6,0.0708,4.8,10,0.0422,1
53,65821.95,60164.59,33675.97,44.7,11,0.2702,5.7,9,0.9141,0
63,65860.02,25390.29,32844.93,86.9,8,0.3288,20.2,6,0.3855,1
64,66758.58,32110.07,8516.13,79.3,4,0.1896,0.3,8,0.481,1
39,38416.37,983.75,16880.28,43.1,8,0.1886,4.1,4,0.0256,1
24,56311.78,4585.0,29080.02,71.6,13,0.1034,11.1,0,0.0814,0
38,56186.94,7018.74,15575.2,78.6,4,0.3438,0.3,4,0.1249,1
29,69584.85,26239.73,20824.5,82.0,11,0.5101,1.5,8,0.3771,1
48,84995.61,14201.2,31620.38,75.2,11,0.1827,4.8,7,0.1671,1
29,33536.6,93.04,19768.41,77.2,13,0.1835,2.5,11,0.0028,1
67,56874.77,5051.05,28390.89,98.5,5,0.3966,3.5,11,0.0888,0
51,97036.39,25320.63,48890.93,94.1,4,0.2771,3.4,2,0.2609,1
34,41410.29,85125.54,22422.12,20.4,8,0.1591,5.7,0,2.0557,1
67,39443.75,6342.36,42690.07,66.3,8,0.2713,2.2,3,0.1608,1
59,65057.65,9408.4,33390.55,69.0,6,0.0832,6.1,10,0.1446,1
43,81109.63,13976.9,2991.37,40.5,11,0.1852,7.6,9,0.1723,1
29,60285.65,9406.03,8467.94,73.7,12,0.1894,4.5,1,0.156,1
38,93224.01,24945.39,12496.06,94.5,4,0.3209,1.8,1,0.2676,1
50,81419.85,33209.42,12177.48,52.4,12,0.4593,10.8,6,0.4079,1
59,81045.5,3161.93,23645.65,78.1,4,0.3419,0.2,7,0.039,1
34,73852.91,11888.9,34219.66,55.5,6,0.2472,3.4,11,0.161,1
58,118191.33,1667.82,43827.38,59.9,1,0.2921,6.9,9,0.0141,1
35,54870.96,2632.07,29622.63,98.6,5,0.1554,2.4,2,0.048,1
34,15000.0,9505.18,18314.81,62.2,14,0.356,2.0,0,0.6337,1
43,100106.36,5517.53,1000.0,80.3,7,0.5554,0.6,7,0.0551,0
29,48557.51,1366.26,26058.84,38.3,10,0.2557,2.9,6,0.0281,1
41,62697.01,11235.94,25386.55,100.0,2,0.3646,13.4,11,0.1792,1
39,92738.77,20116.57,27743.93,82.8,9,0.1489,0.2,6,0.2169,1
35,19943.51,19625.97,56593.6,68.7,6,0.3577,0.3,6,0.9841,1
60,28708.82,5677.06,43608.95,82.4,11,0.4217,11.5,3,0.1977,1
38,19968.05,11589.82,36775.91,46.6,13,0.3477,25.4,1,0.5804,1
56,40146.59,3331.1,10568.84,93.3,8,0.4754,4.8,10,0.083,1
57,70990.92,3933.8,17305.08,66.2,2,0.4171,24.8,9,0.0554,1
54,73104.7,5830.18,23577.33,68.3,7,0.3524,3.9,1,0.0798,1
35,66906.85,42711.95,13368.89,63.2,2,0.298,4.1,8,0.6384,0
62,24680.85,8046.95,32506.97,61.5,7,0.2959,6.5,4,0.326,1
33,15000.0,13233.51,30353.63,84.5,1,0.1864,18.8,5,0.8822,1
35,61358.84,11498.6,8675.38,76.6,9,0.0474,1.7,10,0.1874,1
64,48205.6,20659.21,42952.25,83.7,5,0.409,3.8,10,0.4286,1
38,71484.64,43783.97,26534.66,71.8,3,0.3924,13.5,2,0.6125,1
56,77548.84,6363.25,1000.0,81.2,1,0.4201,12.7,3,0.0821,1
24,63456.04,19724.63,24229.86,64.5,13,0.0057,11.2,9,0.3108,1
52,79003.33,6066.82,29218.1,100.0,12,0.1278,6.0,11,0.0768,1
64,65730.28,31003.41,39591.89,43.8,12,0.2528,6.0,0,0.4717,1
56,73251.62,2242.27,19937.85,94.7,1,0.2417,4.0,10,0.0306,1
50,42383.17,2180.71,37419.07,96.6,5,0.3875,0.4,5,0.0515,1
63,55509.71,11241.86,27807.13,56.7,14,0.2121,2.2,7,0.2025,1
36,64919.4,1281.82,5274.18,100.0,9,0.12,6.9,0,0.0197,1
40,80513.21,4848.01,3772.5,89.9,2,0.5476,2.3,8,0.0602,1
25,50156.47,11714.98,41838.4,89.5,2,0.4432,1.7,8,0.2336,1
56,73029.18,4551.23,42939.76,72.5,4,0.1665,0.1,7,0.0623,1
57,53354.03,39669.38,29843.64,68.1,14,0.4606,8.3,9,0.7435,1
58,57061.45,11739.63,47435.6,68.2,3,0.4047,3.9,11,0.2057,1
58,80737.98,9703.2,40849.15,79.0,13,0.0557,2.4,10,0.1202,1
28,15000.0,11168.54,35254.43,97.2,10,0.1754,5.5,8,0.7446,1
54,27588.19,19026.15,11330.33,75.3,13,0.2113,0.9,11,0.6896,1
59,22945.37,5416.35,50971.43,55.6,12,0.4086,10.5,8,0.2361,1
31,15000.0,21160.19,33044.52,86.8,5,0.2681,4.2,8,1.4107,1
45,43043.39,38246.09,19212.42,88.6,12,0.1855,10.1,6,0.8885,1
66,78735.85,30615.95,14975.95,83.8,3,0.1807,0.1,9,0.3888,1
42,52877.9,10844.67,28851.76,85.4,5,0.3438,0.9,0,0.2051,1
58,64944.75,3652.98,1000.0,67.1,3,0.1904,0.6,6,0.0562,1
47,87230.44,4918.18,35495.1,55.3,2,0.5451,1.3,5,0.0564,0
54,93192.15,24124.5,10696.44,56.4,2,0.4814,6.2,10,0.2589,0
52,58271.55,13866.61,30559.12,42.6,3,0.3454,0.6,0,0.238,1
53,93839.65,5923.8,17175.69,76.3,2,0.3962,15.4,7,0.0631,1
60,62303.17,478.14,21033.72,70.5,6,0.322,4.8,2,0.0077,1
66,39065.04,29542.42,13646.35,64.1,1,0.4326,7.7,10,0.7562,0
36,45139.99,2488.02,22581.56,18.8,1,0.2238,15.7,10,0.0551,1
67,22986.59,8966.34,53340.69,49.5,14,0.6738,2.2,2,0.3901,1
52,37796.65,4712.5,45775.89,92.2,2,0.5974,6.1,10,0.1247,1
51,51049.58,6296.18,30317.18,60.0,2,0.0194,0.4,5,0.1233,1
38,80089.63,1212.23,24620.59,78.5,1,0.1343,0.3,11,0.0151,1
42,103019.25,4996.83,37663.02,47.0,2,0.3229,3.3,8,0.0485,1
53,25445.46,37580.87,41949.56,97.9,8,0.4159,5.3,0,1.4769,1
39,69820.69,9065.74,12552.72,69.4,12,0.1349,6.2,2,0.1298,1
36,33986.4,8762.56,23838.42,77.2,11,0.4429,9.9,4,0.2578,1
62,71867.43,13303.84,1000.0,100.0,9,0.1816,8.4,2,0.1851,1
42,56722.83,6540.71,41846.53,99.3,2,0.3053,4.4,1,0.1153,1
53,15000.0,5936.42,55975.36,66.5,11,0.297,3.2,11,0.3958,1
23,83207.42,294.45,26201.24,61.3,1,0.152,2.4,10,0.0035,1
25,44874.98,23492.42,1000.0,66.1,9,0.33,0.0,5,0.5235,1
63,46652.49,18174.48,34133.36,81.2,6,0.1816,5.7,2,0.3896,1
28,33256.19,7611.1,11438.66,70.1,13,0.1175,9.7,2,0.2289,1
60,43642.92,14741.63,15049.76,64.9,5,0.0392,7.4,10,0.3378,1
66,70697.26,7624.66,34398.65,98.4,9,0.4091,2.1,3,0.1078,1
45,55268.89,1840.82,28818.31,69.9,7,0.3199,3.2,0,0.0333,1
65,68216.55,2346.6,17678.37,100.0,8,0.3051,2.4,4,0.0344,1
42,69048.05,50090.28,15255.92,73.6,14,0.1293,3.0,5,0.7254,1
68,93016.54,19020.68,26887.54,100.0,10,0.2107,4.0,7,0.2045,1
33,51430.35,6704.48,18858.02,78.4,6,0.3272,0.5,4,0.1304,1
42,23078.55,21258.35,8361.44,89.3,7,0.1891,1.4,11,0.9211,1
41,86680.56,10875.65,20011.55,59.0,10,0.5316,0.6,7,0.1255,0
60,51712.8,23145.62,30093.89,56.6,5,0.3942,0.0,11,0.4476,0
24,87864.81,16463.71,22328.45,80.3,3,0.2709,1.8,4,0.1874,1
62,69584.43,21150.42,3797.37,89.8,7,0.3231,2.7,7,0.304,1
23,56721.56,86.12,39835.97,72.7,1,0.4513,2.5,4,0.0015,1
37,68719.4,64585.5,1000.0,48.8,3,0.5685,0.2,8,0.9398,1
51,108775.31,713.26,18304.52,47.5,6,0.5358,8.6,8,0.0066,1
29,111924.51,7484.95,15697.02,46.3,12,0.1137,0.8,3,0.0669,1
46,61734.53,1983.23,27222.68,40.2,11,0.1574,4.6,11,0.0321,1
70,64004.76,3243.34,33424.93,74.0,4,0.1097,4.8,10,0.0507,1
62,86906.0,7887.88,41901.47,92.3,6,0.3959,0.6,10,0.0908,1
23,38858.47,6607.72,14313.93,71.8,3,0.4882,0.2,2,0.17,1
50,68326.76,43349.27,33798.74,31.3,11,0.1873,0.1,8,0.6344,0
51,59353.43,7297.36,27937.28,68.6,4,0.2137,1.6,1,0.1229,1
25,67847.71,45121.28,1000.0,69.1,12,0.1819,4.3,1,0.665,1
53,39165.78,13096.05,53508.1,100.0,12,0.118,0.7,11,0.3344,1
47,20260.81,7475.33,3418.37,45.8,10,0.6667,0.4,1,0.369,0
55,15000.0,13711.74,31292.46,65.0,5,0.253,4.5,10,0.9141,1
36,32065.4,12981.84,30849.4,100.0,14,0.3861,0.8,5,0.4049,1
34,48533.12,4474.04,29134.55,80.1,10,0.636,8.3,3,0.0922,1
58,52670.21,4369.07,17581.35,82.1,10,0.5888,3.4,0,0.083,1
57,108430.78,34398.28,37408.79,74.1,12,0.0925,4.4,8,0.3172,1
29,87649.83,1194.31,1594.49,77.9,13,0.2485,10.4,8,0.0136,1
32,35947.72,10848.64,24012.57,86.0,2,0.3372,0.9,5,0.3018,1
50,68692.71,45794.64,16541.88,57.4,13,0.5434,4.1,9,0.6667,0
62,49823.04,5725.72,14840.53,87.8,11,0.2941,2.1,3,0.1149,1
31,52890.9,25224.37,31431.22,47.3,3,0.1144,0.7,6,0.4769,1
32,64633.14,5574.76,41162.18,77.9,5,0.2387,4.5,3,0.0863,1
61,75479.28,46878.6,19851.16,75.2,11,0.0198,0.2,6,0.6211,1
56,51518.54,2252.21,36710.22,60.9,4,0.3482,9.4,1,0.0437,1
66,86596.29,7946.52,25746.11,71.6,7,0.3993,5.7,5,0.0918,1
60,31451.54,10790.28,11609.02,60.8,10,0.2649,19.7,6,0.3431,1
68,60158.48,20520.63,21130.72,52.7,10,0.4769,3.1,6,0.3411,0
31,124941.84,12863.93,20507.71,65.6,13,0.1309,12.6,5,0.103,1
35,65576.99,23028.5,14550.1,52.1,2,0.3702,1.0,7,0.3512,1
33,95830.36,2296.16,31427.24,77.8,5,0.1932,3.8,6,0.024,1
24,62288.0,23932.16,28519.69,51.3,14,0.1855,3.8,3,0.3842,1
60,74519.43,36881.71,1140.25,84.8,8,0.1754,5.8,2,0.4949,1
54,58580.42,21514.85,1000.0,50.7,4,0.3681,14.5,7,0.3673,1
26,55739.81,5777.92,31370.27,61.8,5,0.3035,7.9,11,0.1037,1
31,40512.94,3416.53,12770.7,60.8,5,0.2833,0.4,9,0.0843,1
31,70757.53,4758.07,29530.62,95.9,8,0.4036,4.2,7,0.0672,1
41,38711.57,1917.7,36713.97,77.9,4,0.24,1.9,11,0.0495,1
44,76639.63,16412.38,5935.71,68.2,9,0.2458,0.7,10,0.2141,1
36,87132.18,11965.97,3826.94,81.0,7,0.5511,3.3,6,0.1373,1
67,69163.29,11982.65,50116.48,34.1,9,0.1233,2.6,1,0.1733,0
32,52843.78,14525.64,30273.56,71.2,3,0.1521,0.2,7,0.2749,1
49,71349.14,34368.55,18711.39,100.0,9,0.5364,4.0,7,0.4817,1
43,52283.17,1024.79,10990.89,74.4,13,0.4368,0.5,3,0.0196,1
40,83388.68,7641.59,17343.39,73.2,2,0.2104,7.0,10,0.0916,1
62,15000.0,3713.14,7141.41,81.9,5,0.1777,1.5,10,0.2475,1
69,51609.82,18632.76,38251.18,88.1,10,0.1853,4.5,3,0.361,1
22,15000.0,31859.3,13348.73,36.0,9,0.4564,0.9,5,2.124,0
44,22623.48,5083.82,41403.02,41.7,10,0.2338,11.5,2,0.2247,1
